feature_dim1,feature_dim2,predicted_r
-11.932574,-16.478994,3.7892122
-11.817301,-16.3302,3.7758222
-9.720594,-13.333347,3.5985198
-11.994988,-16.575394,3.7969065
-12.679308,-17.543495,3.8787751
-11.987303,-16.572842,3.7962208
-14.507244,-20.226757,4.100188
-11.568295,-15.976554,3.7459934
-12.030457,-16.62879,3.80124
-11.573278,-15.983586,3.7465892
-10.861122,-14.951943,3.6766887
-11.405392,-15.739799,3.727572
-12.870885,-17.820454,3.9018602
-10.312289,-14.218413,3.6398096
-10.320947,-14.204603,3.6399796
-11.564015,-15.9614725,3.7452288
-10.033986,-13.77328,3.6199207
-11.027127,-14.968853,3.684514
-7.639736,-10.422425,3.456589
-12.591962,-17.432262,3.868671
-7.8733826,-10.704513,3.4717987
-2.194454,-2.8916185,3.11954
-12.713379,-17.591728,3.8828516
-11.578079,-15.992887,3.7472336
-11.430901,-15.75168,3.7290173
-11.57559,-15.968839,3.7463608
-10.041857,-13.781074,3.6204052
-12.60966,-17.493652,3.8718076
-11.593575,-16.00383,3.74878
-4.3556786,-5.8455896,3.2253528
-10.809962,-14.896193,3.6734555
-19.414114,-27.264034,4.7164793
-10.896706,-15.022262,3.6798058
-10.184025,-14.007481,3.6305494
-7.374216,-10.013648,3.437872
-11.784359,-16.263466,3.7713165
-11.565401,-15.972379,3.7456455
-11.64632,-16.063808,3.7546797
-11.863613,-16.39286,3.7812824
-10.859398,-14.960572,3.67675
-10.736885,-14.79067,3.6684184
-8.080999,-11.068044,3.4871469
-17.166672,-23.914204,4.4162498
-11.854506,-16.382265,3.7802567
-8.643116,-11.799236,3.524592
-13.185629,-18.262384,3.9394217
-8.002495,-10.900592,3.4808562
-11.7975025,-16.276007,3.7727191
-10.582199,-14.559602,3.657629
-7.9825764,-10.866305,3.479393
-11.620167,-16.037552,3.7518523
-11.792876,-16.293888,3.772851
-8.168459,-11.137215,3.4922485
-15.023275,-20.94923,4.1617107
-14.083574,-19.545193,4.0471973
-12.14267,-16.790777,3.8147554
-36.18988,-50.38162,6.858257
-11.584084,-15.979938,3.7473507
-12.211164,-16.887495,3.8229449
-3.9184637,-5.1500835,3.196322
-11.654418,-16.10097,3.7563694
-0.9180056,-1.2259178,2.7371438
-13.382282,-18.555841,3.9633756
-6.8398457,-9.316086,3.402235
-7.6517334,-10.452882,3.4576297
-11.747736,-16.23327,3.767542
-11.8004875,-16.307838,3.773851
-11.864805,-16.39677,3.7814875
-11.781982,-16.279812,3.7715855
-9.389045,-12.851167,3.5756073
-12.994662,-17.987965,3.9164557
